Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-124.6875,47.9375,1356.0690918,2226.39746094,824.185058594,12249.0009766
-124.6875,48.0625,1286.20800781,2147.87451172,819.574951172,12175.0009766
-124.6875,48.1875,1192.04492188,2059.73999023,829.992980957,12032.5996094
-124.6875,48.3125,1230.72802734,2036.85632324,761.220947266,11354.7988281
-124.6875,48.4375,1299.10595703,2120.00048828,781.621948242,11565.9003906
-124.5625,42.6875,1911.26611328,2355.47436523,368.143005371,12971.0
-124.5625,42.8125,1038.23193359,2090.88305664,756.348999023,11172.4990234
-124.5625,42.9375,848.327026367,1985.41308594,853.642944336,10589.1992188
-124.5625,47.8125,1316.67712402,2225.98803711,850.585021973,12192.8994141
-124.5625,47.9375,1349.7869873,2213.5637207,819.853027344,12228.1005859
-124.5625,48.0625,1385.33996582,2239.76953125,813.078979492,12259.7988281
-124.5625,48.1875,1328.50097656,2196.70117188,818.157958984,12202.1992188
-124.5625,48.3125,1418.28198242,2279.99389648,778.645996094,11542.2988281
-124.4375,40.4375,1102.56396484,1729.86437988,614.566955566,5365.10009766
-124.4375,42.1875,1298.63195801,2387.55908203,803.095031738,11246.7001953
-124.4375,42.3125,1443.27111816,2639.01000977,889.489013672,11366.2998047
-124.4375,42.4375,1392.21606445,2496.4296875,809.263977051,11391.0
-124.4375,42.5625,1287.32800293,2411.11791992,817.025024414,11265.5986328
-124.4375,42.6875,1403.85107422,2529.08569336,829.481079102,11520.8007812
-124.4375,42.8125,1303.5,2368.69604492,784.521972656,11486.6992188
-124.4375,42.9375,1106.01306152,2156.07202148,781.309997559,11221.2001953
-124.4375,43.0625,659.041015625,1746.7109375,867.617980957,9760.0
-124.4375,43.1875,592.557006836,1612.29663086,846.787963867,9357.20019531
-124.4375,43.3125,639.372009277,1591.14099121,746.749938965,10175.5996094
-124.4375,47.6875,1451.70397949,2399.17773438,869.166015625,12344.8994141
-124.4375,47.8125,1464.93505859,2365.4909668,833.024047852,12895.5
-124.4375,47.9375,1504.15100098,2418.38037109,848.87902832,12326.5
-124.4375,48.0625,1457.62805176,2330.32519531,817.888977051,12298.2988281
-124.4375,48.1875,1329.78503418,2202.98461914,813.749938965,12173.5009766
-124.4375,48.3125,1160.42797852,1984.45532227,793.61505127,11904.0986328
-124.3125,40.1875,2169.75585938,2816.91943359,689.282043457,4826.70019531
-124.3125,40.3125,1908.14904785,2525.01953125,649.141967773,4850.89990234
-124.3125,40.4375,1378.10302734,1970.40917969,589.566955566,5480.70019531
-124.3125,40.5625,908.164001465,1611.9473877,630.33996582,4654.60009766
-124.3125,40.6875,383.323974609,1223.05102539,698.425964355,4337.69970703
-124.3125,42.0625,1708.51513672,2678.40039062,764.802001953,11816.3994141
-124.3125,42.1875,2046.65197754,3090.7253418,831.013977051,11996.9990234
-124.3125,42.3125,1889.61120605,2981.07836914,845.795043945,11956.3007812
-124.3125,42.4375,2204.85791016,3229.74731445,814.081054688,12298.5009766
-124.3125,42.5625,1359.07897949,2596.00805664,929.259033203,11189.4003906
-124.3125,42.6875,1802.76611328,2959.56420898,887.192016602,11824.2001953
-124.3125,42.8125,1554.53417969,2708.06201172,878.942993164,11591.7998047
-124.3125,42.9375,1078.66394043,2206.02880859,847.843994141,11015.5
-124.3125,43.0625,621.541015625,1738.65661621,922.982971191,9300.20019531
-124.3125,43.1875,546.575073242,1544.21459961,849.545043945,8853.20019531
