Index,Group,Column1,Row1,Column2,Row2,Column3,Row3
77,"Industrial consumptive use, saline, in Mgal/d",,,,,,
78,"Industrial deliveries from public supply, in Mgal/d",Q,33,,,,
79,"Industrial reclaimed wastewater, in Mgal/d",Q,34,,,,
80,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d",Q,31,,,,
81,"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",Q,28,,,,
82,"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",Q,30,,,,
83,"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",Q,27,,,,
84,"Industrial total consumptive use, in Mgal/d",,,,,,
85,"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
86,"Industrial total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
87,"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
88,"Industrial total self-supplied withdrawals, in Mgal/d",,,,,,
89,"Industrial total self-supplied withdrawals, saline, in Mgal/d",,,,,,
90,"Industrial total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
91,"Irrigation, Crop consumptive use for crops, fresh, in Mgal/d",,,,,,
92,"Irrigation, Crop conveyance loss for crops, in Mgal/d",B,17,,,,
93,"Irrigation, Crop reclaimed wastewater for crops, in Mgal/d",B,34,,,,
94,"Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d",,,,,,
95,"Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d",,,,,,
96,"Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d",,,,,,
97,"Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d",,,,,,
98,"Irrigation, Golf Courses conveyance loss for golf courses, in Mgal/d",R,17,R,37,,
99,"Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d",R,34,,,,
100,"Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d",R,31,,,,
101,"Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d",R,30,,,,
102,"Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d",,,,,,
103,"Irrigation, Total consumptive use, fresh, in Mgal/d",,,,,,
104,"Irrigation, Total consumptive use, saline, in Mgal/d",,,,,,
105,"Irrigation, Total conveyance loss, in Mgal/d",,,,,,
106,"Irrigation, Total reclaimed wastewater, in Mgal/d",,,,,,
107,"Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d",,,,,,
108,"Irrigation, Total self-supplied groundwater withdrawals, saline, in Mgal/d",,,,,,
109,"Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d",,,,,,
